Hamm (Westf.) - Venlo,,,,,,,,,,,","
"Amersfoort - Apeldoorn, Apeldoorn - Deventer",,,,,,,,,,,
"Amersfoort - Schiphol Airport, Lelystad Centrum - Schiphol Airport, Schiphol Airport - Utrecht Centraal",,,,,,,,,,,
"Amersfoort - Apeldoorn, Amersfoort - Ede-Wageningen",,,,,,,,,,,
"Arnhem - Frankfurt (M) Hbf, Arnhem - Winterswijk",,,,,,,,,,,
Breda - Roosendaal,,,,,,,,,,,
Amersfoort - Ede-Wageningen,,,,,,,,,,,
Groningen - Zwolle,,,,,,,,,,,
Liège-Guillemins - Maastricht,,,,,,,,,,,
's-Hertogenbosch - Nijmegen,,,,,,,,,,,
's-Hertogenbosch - Nijmegen,,,,,,,,,,,
Haarlem - Leiden Centraal,,,,,,,,,,,
Alkmaar - Den Helder,,,,,,,,,,,
Amsterdam Centraal - Haarlem,,,,,,,,,,,
Leiden Centraal - Schiphol Airport,,,,,,,,,,,
Hoek van Holland Strand - Rotterdam Centraal,,,,,,,,,,,
's-Hertogenbosch - Nijmegen,,,,,,,,,,,
Breda - Roosendaal,,,,,,,,,,,
Hoek van Holland Strand - Rotterdam Centraal,,,,,,,,,,,
Arnhem - Winterswijk,,,,,,,,,,,
Heerlen - Maastricht,,,,,,,,,,,
Hamm (Westf.) - Venlo,,,,,,,,,,,
"'s-Hertogenbosch - Eindhoven, 's-Hertogenbosch - Utrecht Centraal, Schiphol Airport - Utrecht Centraal",,,,,,,,,,,
Nijmegen - Venlo,,,,,,,,,,,
Alkmaar - Amsterdam Centraal,,,,,,,,,,,
Haarlem - Uitgeest,,,,,,,,,,,
Breda - Tilburg,,,,,,,,,,,
Roosendaal - Vlissingen,,,,,,,,,,,
Liège-Guillemins - Maastricht,,,,,,,,,,,
Arnhem - Nijmegen,,,,,,,,,,,
Arnhem - Nijmegen,,,,,,,,,,,
Arnhem - Utrecht Centraal,,,,,,,,,,,
Arnhem - Nijmegen,,,,,,,,,,,
"Amersfoort - Amsterdam Centraal, Amersfoort - Zwolle",,,,,,,,,,,
"Liège-Guillemins - Maastricht, Maastricht - Maastricht Randwyck",,,,,,,,,,,
"Almere Oostvaarders - Utrecht Centraal, Amersfoort - Amsterdam Centraal, Amersfoort - Schiphol Airport",,,,,,,,,,,
Almelo - Zwolle,,,,,,,,,,,
Nijmegen - Venlo,,,,,,,,,,,
Emmen - Zwolle,,,,,,,,,,,
Lelystad Centrum - Schiphol Airport,,,,,,,,,,,
Arnhem - Winterswijk,,,,,,,,,,,
Haarlem - Leiden Centraal,,,,,,,,,,,
Breda - Roosendaal,,,,,,,,,,,
"Arnhem - Nijmegen, Arnhem - Utrecht Centraal",,,,,,,,,,,
Amsterdam Centraal - Utrecht Centraal,,,,,,,,,,,
Eindhoven - Venlo,,,,,,,,,,,
"Breda - Dordrecht, Dordrecht - Roosendaal",,,,,,,,,,,
Dordrecht - Rotterdam Centraal,,,,,,,,,,,
Hengelo - Zutphen,,,,,,,,,,,
Heerlen - Sittard,,,,,,,,,,,
Arnhem - Utrecht Centraal,,,,,,,,,,,
"Den Haag Centraal - Den Haag HS, Den Haag HS - Rotterdam Centraal",,,,,,,,,,,
"Eindhoven - Venlo, Hamm (Westf.) - Venlo, Nijmegen - Venlo, Roermond - Venlo",,,,,,,,,,,
Amsterdam Centraal - Haarlem,,,,,,,,,,,
Eindhoven - Venlo,,,,,,,,,,,
"Arnhem - Nijmegen, Arnhem - Utrecht Centraal",,,,,,,,,,,
Alkmaar - Den Helder,,,,,,,,,,,
"Den Haag Centraal - Den Haag HS, Den Haag HS - Rotterdam Centraal",,,,,,,,,,,
Arnhem - Winterswijk,,,,,,,,,,,
"Groningen - Bad Nieuweschans, Groningen - Leer (Ostfriesland)",,,,,,,,,,,
Groningen - Zwolle,,,,,,,,,,,
"Almere Oostvaarders - Utrecht Centraal, Hilversum - Utrecht Centraal",,,,,,,,,,,
"Groningen - Zwolle, Leeuwarden - Zwolle",,,,,,,,,,,
Winterswijk - Zutphen,,,,,,,,,,,
Eindhoven - Venlo,,,,,,,,,,,
Arnhem - Winterswijk,,,,,,,,,,,
Breda - Dordrecht,,,,,,,,,,,
Dordrecht - Roosendaal,,,,,,,,,,,
"Heerlen - Kerkrade Centrum, Heerlen - Stolberg Altstadt",,,,,,,,,,,
