Datum	Puncutaliteit
20-07-12	96.00%
21-07-12	95.50%
22-07-12	96.70%
23-07-12	95.60%
24-07-12	92.00%
25-07-12	94.40%
26-07-12	94.00%
27-07-12	91.80%
28-07-12	96.20%
29-07-12	95.30%
30-07-12	95.40%
31-07-12	95.80%
01-08-12	95.00%
02-08-12	94.70%
03-08-12	95.60%
04-08-12	96.20%
05-08-12	94.50%
06-08-12	97.00%
07-08-12	95.80%
08-08-12	95.90%
09-08-12	96.50%
10-08-12	97.10%
11-08-12	96.90%
12-08-12	94.40%
13-08-12	90.10%
14-08-12	93.70%
15-08-12	93.60%
16-08-12	92.70%
17-08-12	91.00%
18-08-12	90.50%
19-08-12	90.50%
20-08-12	91.20%
21-08-12	90.30%
22-08-12	89.60%
23-08-12	91.90%
24-08-12	90.90%
25-08-12	94.60%
26-08-12	92.00%
27-08-12	92.00%
28-08-12	89.30%
29-08-12	92.40%
30-08-12	91.30%
31-08-12	86.80%
01-09-12	88.90%
02-09-12	92.00%
03-09-12	91.80%
04-09-12	89.40%
05-09-12	89.00%
06-09-12	84.50%
07-09-12	86.20%
08-09-12	88.80%
09-09-12	89.80%
10-09-12	87.00%
11-09-12	88.10%
12-09-12	89.70%
13-09-12	87.30%
14-09-12	90.00%
15-09-12	92.90%
16-09-12	91.30%
17-09-12	88.60%
18-09-12	87.10%
19-09-12	90.00%
20-09-12	87.00%
21-09-12	90.70%
22-09-12	90.30%
23-09-12	90.30%
24-09-12	83.00%
25-09-12	89.90%
26-09-12	nodata
27-09-12	91.70%
28-09-12	92.50%
29-09-12	93.80%
30-09-12	94.50%
01-10-12	94.20%
02-10-12	93.10%
03-10-12	nodata
04-10-12	nodata
05-10-12	nodata
06-10-12	92.40%
07-10-12	94.00%
08-10-12	92.30%
09-10-12	91.30%
10-10-12	94.70%
11-10-12	nodata
12-10-12	92.00%
13-10-12	92.80%
14-10-12	91.50%
15-10-12	93.70%
16-10-12	92.80%
17-10-12	90.60%
18-10-12	92.30%
19-10-12	91.50%
20-10-12	94.70%
21-10-12	95.20%
22-10-12	88.20%
23-10-12	93.10%
24-10-12	92.80%
25-10-12	88.20%
26-10-12	91.00%
27-10-12	94.70%
28-10-12	94.10%
29-10-12	86.90%
30-10-12	93.00%
31-10-12	94.00%
01-11-12	88.90%
02-11-12	89.50%
03-11-12	93.00%
04-11-12	93.60%
05-11-12	88.90%
06-11-12	86.30%
07-11-12	90.00%
08-11-12	90.40%
09-11-12	92.40%
10-11-12	91.70%
11-11-12	93.00%
12-11-12	91.60%
13-11-12	86.80%
14-11-12	89.20%
15-11-12	88.80%
16-11-12	92.80%
17-11-12	89.00%
18-11-12	91.30%
19-11-12	90.90%
20-11-12	92.30%
21-11-12	89.20%
22-11-12	84.00%
23-11-12	90.00%
24-11-12	91.10%
25-11-12	89.80%
26-11-12	82.90%
27-11-12	84.30%
28-11-12	91.50%
29-11-12	91.50%
30-11-12	89.00%
01-12-12	90.30%
02-12-12	93.70%
03-12-12	89.70%
04-12-12	91.00%
05-12-12	93.30%
06-12-12	83.70%
07-12-12	78.20%
08-12-12	85.00%
09-12-12	89.40%
10-12-12	88.90%
11-12-12	82.80%
12-12-12	89.00%
13-12-12	89.30%
14-12-12	84.90%
15-12-12	93.60%
16-12-12	91.60%
17-12-12	91.50%
18-12-12	86.00%
19-12-12	89.70%
20-12-12	88.00%
21-12-12	88.10%
22-12-12	92.10%
23-12-12	96.80%
24-12-12	95.00%
25-12-12	92.20%
26-12-12	94.40%
27-12-12	93.70%
28-12-12	95.60%
29-12-12	96.50%
30-12-12	95.50%
31-12-12	96.70%
01-01-13	92.50%
02-01-13	90.00%
03-01-13	93.40%
04-01-13	94.80%
05-01-13	96.50%
06-01-13	97.30%
07-01-13	92.40%
08-01-13	95.90%
09-01-13	94.00%
10-01-13	95.10%
11-01-13	95.00%
12-01-13	96.20%
13-01-13	96.20%
14-01-13	93.20%
15-01-13	70.70%
16-01-13	67.90%
17-01-13	75.70%
18-01-13	83.70%
19-01-13	93.00%
20-01-13	79.30%
21-01-13	63.30%
22-01-13	73.90%
23-01-13	77.50%
24-01-13	77.10%
25-01-13	88.80%
26-01-13	93.60%
27-01-13	95.20%
28-01-13	94.90%
29-01-13	92.80%
30-01-13	94.20%
31-01-13	93.20%
01-02-13	92.20%
02-02-13	95.00%
03-02-13	96.10%
04-02-13	92.30%
05-02-13	95.30%
06-02-13	79.00%
07-02-13	93.60%
08-02-13	92.90%
09-02-13	94.30%
10-02-13	92.50%
11-02-13	93.40%
12-02-13	93.10%
13-02-13	90.70%
14-02-13	75.00%
15-02-13	92.90%
16-02-13	96.30%
17-02-13	95.20%
18-02-13	94.50%
19-02-13	95.30%
20-02-13	96.00%
21-02-13	91.00%
22-02-13	92.90%
23-02-13	96.00%
24-02-13	93.50%
25-02-13	94.50%
26-02-13	93.40%
27-02-13	96.00%
28-02-13	95.30%
01-03-13	95.20%
02-03-13	95.60%
03-03-13	94.30%
04-03-13	93.80%
05-03-13	95.30%
06-03-13	93.60%
07-03-13	94.00%
08-03-13	94.80%
09-03-13	95.00%
10-03-13	95.40%
11-03-13	96.20%
12-03-13	90.40%
13-03-13	94.60%
14-03-13	91.50%
15-03-13	92.90%
16-03-13	95.00%
17-03-13	94.90%
18-03-13	94.60%
19-03-13	96.20%
20-03-13	94.30%
21-03-13	96.60%
22-03-13	94.00%
23-03-13	96.10%
24-03-13	95.50%
25-03-13	91.60%
26-03-13	94.80%
27-03-13	94.50%
28-03-13	95.50%
29-03-13	93.10%
30-03-13	94.60%
31-03-13	97.40%
01-04-13	96.40%
02-04-13	93.40%
03-04-13	95.60%
04-04-13	93.50%
05-04-13	93.80%
06-04-13	94.50%
07-04-13	95.60%
08-04-13	91.80%
09-04-13	94.10%
10-04-13	94.90%
11-04-13	93.50%
12-04-13	91.50%
13-04-13	95.70%
14-04-13	95.60%
15-04-13	93.40%
16-04-13	94.80%
17-04-13	96.00%
18-04-13	89.50%
19-04-13	93.00%
20-04-13	93.90%
21-04-13	96.00%
22-04-13	92.60%
23-04-13	94.90%
24-04-13	96.10%
25-04-13	94.10%
26-04-13	93.80%
27-04-13	97.10%
28-04-13	95.80%
29-04-13	95.10%
30-04-13	93.80%
01-05-13	93.60%
02-05-13	95.50%
03-05-13	95.00%
04-05-13	95.60%
05-05-13	92.90%
06-05-13	nodata
07-05-13	93.80%
08-05-13	91.50%
09-05-13	96.00%
10-05-13	95.10%
11-05-13	97.20%
12-05-13	97.50%
13-05-13	95.10%
14-05-13	94.10%
15-05-13	95.90%
16-05-13	95.80%
17-05-13	95.90%
18-05-13	97.10%
19-05-13	96.80%
20-05-13	95.40%
21-05-13	94.30%
22-05-13	94.40%
23-05-13	95.20%
24-05-13	91.70%
25-05-13	95.90%
26-05-13	95.30%
27-05-13	94.30%
28-05-13	95.20%
29-05-13	94.50%
30-05-13	95.70%
31-05-13	96.10%
01-06-13	97.20%
02-06-13	94.70%
03-06-13	95.70%
04-06-13	94.60%
05-06-13	92.20%
06-06-13	92.20%
07-06-13	92.00%
08-06-13	94.60%
09-06-13	93.80%
10-06-13	94.40%
11-06-13	95.80%
12-06-13	93.90%
13-06-13	94.80%
14-06-13	96.10%
15-06-13	94.50%
16-06-13	94.60%
17-06-13	95.00%
18-06-13	88.80%
19-06-13	92.40%
20-06-13	93.40%
21-06-13	90.70%
22-06-13	93.40%
23-06-13	95.00%
24-06-13	96.00%
25-06-13	94.90%
26-06-13	95.90%
27-06-13	94.80%
28-06-13	92.90%
29-06-13	94.20%
30-06-13	95.70%
