's-Hertogenbosch - Eindhoven,lijn042,lijn040,,,,,
's-Hertogenbosch - Nijmegen,lijn056,,,,,,
's-Hertogenbosch - Tilburg,lijn041,,,,,,
's-Hertogenbosch - Utrecht Centraal,lijn054,lijn055,,,,,
Alkmaar - Amsterdam Centraal,lijn005,lijn006,lijn007,lijn008,,,
Alkmaar - Den Helder,lijn001,lijn002,,,,,
Alkmaar - Hoorn,lijn002,lijn003,,,,,
Almelo - Deventer,lijn096,lijn095,,,,,
Almelo - Hengelo,lijn098,,,,,,
Almelo - Marienberg,lijn101,,,,,,
Almelo - Zwolle,lijn097,lijn096,,,,,
Almere Oostvaarders - Utrecht Centraal,lijn107,lijn075,lijn076,lijn077,,,
Alphen a/d Rijn - Gouda,lijn021,,,,,,
Amersfoort - Amsterdam Centraal,lijn071,lijn072,lijn074,lijn075,lijn080,lijn081,
Amersfoort - Apeldoorn,lijn083,lijn084,lijn086,,,,
Amersfoort - Ede-Wageningen,lijn083,lijn084,lijn085,,,,
Amersfoort - Schiphol Airport,,lijn069,lijn073,lijn074,lijn075,lijn080,lijn081
Amersfoort - Utrecht Centraal,lijn082,lijn077,lijn078,,,,
Amersfoort - Zwolle,lijn083,lijn107,,,,,
Amsterdam Centraal - Haarlem,lijn008,lijn009,,,,,
Amsterdam Centraal - Hoorn,lijn008,lijn007,lijn010,,,,
Amsterdam Centraal - Lelystad Centrum,lijn106,lijn107,lijn074,lijn072,lijn071,,
Amsterdam Centraal - Schiphol Airport,,,,,,,
Amsterdam Centraal - Utrecht Centraal,lijn070,lijn071,lijn068,lijn066,,,
Amsterdam Centraal - Woerden,,lijn070,lijn071,lijn068,lijn067,,
Antwerpen-Centraal - Roosendaal,lijn127,,,,,,
Apeldoorn - Deventer,lijn093,lijn092,,,,,
Apeldoorn - Zutphen,lijn087,,,,,,
Arnhem - Frankfurt (M) Hbf,lijn136,,,,,,
Arnhem - Nijmegen,lijn058,lijn061,,,,,
Arnhem - Tiel,lijn058,lijn057,,,,,
Arnhem - Utrecht Centraal,lijn062,lijn063,lijn064,,,,
Arnhem - Winterswijk,lijn060,lijn059,,,,,
Arnhem - Zutphen,lijn088,,,,,,
Baarn - Utrecht Centraal,lijn077,lijn078,lijn079,,,,
Berlin Ostbahnhof - Hengelo,,,,,,,
Breda - Dordrecht,lijn037,lijn038,lijn031,,,,
Breda - Roosendaal,lijn036,,,,,,
Breda - Rotterdam Centraal,lijn037,lijn032,lijn031,lijn030,,,
Breda - Tilburg,lijn038,,,,,,
Brussel-Zuid/Midi - Rotterdam Centraal,,,,,,,
Delfzijl - Groningen,lijn119,lijn118,lijn117,,,,
Den Haag Centraal - Den Haag HS,lijn025,lijn027,,,,,
Den Haag Centraal - Leiden Centraal,lijn026,lijn025,,,,,
Den Haag Centraal - Utrecht Centraal,lijn025,lijn024,lijn022,lijn020,lijn019,,
Den Haag HS - Leiden Centraal,lijn027,lijn026,,,,,
Den Haag HS - Rotterdam Centraal,lijn028,,,,,,
Deventer - Zutphen,lijn091,,,,,,
Deventer - Zwolle,lijn092,lijn094,,,,,
Dordrecht - Geldermalsen,lijn035,,,,,,
Dordrecht - Roosendaal,lijn032,lijn033,,,,,
Dordrecht - Rotterdam Centraal,lijn030,lijn031,,,,,
